Message	SIMM16[3:0]	SIMM16[6:4]	Payload

none	0	-	illegal

GS	2	0=nop, 1=cut,	GS output. M0[4:0]=gs-waveID, SIMM[9:8] = stream-id

GS-done	3	3=emit-cut	

Save wave	4	-	used in context switching

Stall Wave	5	-	stop new wave generation

Gen			

Halt Waves	6	-	halt all running waves of this vmid

Ordered PS	7	-	POPS ordered section done

Done			

GS alloc req	9	-	Request GS space in parameter cache. M0[9:0] = number of

Compare Operation	Opcode Offset	Description

F	0	D.u = 0

LT	1	D.u = (S0 < S1)

EQ	2	D.u = (S0 == S1)

LE	3	D.u = (S0 <= S1)

GT	4	D.u = (S0 > S1)

LG	5	D.u = (S0 <> S1)

GE	6	D.u = (S0 >= S1)

O	7	D.u = (!isNaN(S0) && !isNaN(S1))

U	8	D.u = (!isNaN(S0) || !isNaN(S1))

NGE	9	D.u = !(S0 >= S1)

NLG	10	D.u = !(S0 <> S1)

NGT	11	D.u = !(S0 > S1)

NLE	12	D.u = !(S0 <= S1)

NEQ	13	D.u = !(S0 == S1)

NLT	14	D.u = !(S0 < S1)

TRU	15	D.u = 1

Instruction	Description	Hex Range

V_CMP_{COMPF}_F16	16-bit float compare.	0x20 to 0x2F

V_CMPX_{COMPF}_F16	16-bit float compare. Also writes EXEC.	0x30 to 0x3F

V_CMP_{COMPF}_F32	32-bit float compare.	0x40 to 0x4F

V_CMPX_{COMPF}_F32	32-bit float compare. Also writes EXEC.	0x50 to 0x5F

V_CMPS_{COMPF}_F64	64-bit float compare.	0x60 to 0x6F

V_CMPSX_{COMPF}_F64	64-bit float compare. Also writes EXEC.	0x70 to 0x7F

Compare Operation	Opcode Offset	Description

F	0	D.u = 0

LT	1	D.u = (S0 < S1)

EQ	2	D.u = (S0 == S1)

LE	3	D.u = (S0 <= S1)

GT	4	D.u = (S0 > S1)

LG	5	D.u = (S0 <> S1)

GE	6	D.u = (S0 >= S1)

TRU	7	D.u = 1

Instruction	Description	Hex Range

V_CMP_{COMPI}_I16	16-bit signed integer compare.	0xA0 - 0xA7

V_CMP_{COMPI}_U16	16-bit signed integer compare. Also writes EXEC.	0xA8 - 0xAF

V_CMPX_{COMPI}_I16	16-bit unsigned integer compare.	0xB0 - 0xB7

V_CMPX_{COMPI}_U16	16-bit unsigned integer compare. Also writes EXEC.	0xB8 - 0xBF

V_CMP_{COMPI}_I32	32-bit signed integer compare.	0xC0 - 0xC7

V_CMP_{COMPI}_U32	32-bit signed integer compare. Also writes EXEC.	0xC8 - 0xCF

V_CMPX_{COMPI}_I32	32-bit unsigned integer compare.	0xD0 - 0xD7

V_CMPX_{COMPI}_U32	32-bit unsigned integer compare. Also writes EXEC.	0xD8 - 0xDF

V_CMP_{COMPI}_I64	64-bit signed integer compare.	0xE0 - 0xE7

V_CMP_{COMPI}_U64	64-bit signed integer compare. Also writes EXEC.	0xE8 - 0xEF

V_CMPX_{COMPI}_I64	64-bit unsigned integer compare.	0xF0 - 0xF7

V_CMPX_{COMPI}_U64	64-bit unsigned integer compare. Also writes EXEC.	0xF8 - 0xFF

